id,customer_id,quantity,unit_price,total_value,anomaly_score
267576,13734,85,34.95,2970.75,0.08675448454654411
281504,18102,300,6.35,1905.0,0.08385668427962323
420629,17949,360,10.95,3942.0,0.08257309462835738
281502,18102,312,5.06,1578.72,0.08211486738563245
266851,14156,104,16.95,1762.8,0.08099907591525513
103849,18102,480,0.85,408.0,0.0783281946055151
103845,18102,480,0.85,408.0,0.0783281946055151
103844,18102,480,0.85,408.0,0.0783281946055151
103847,18102,480,0.85,408.0,0.0783281946055151
103848,18102,480,0.85,408.0,0.0783281946055151
103846,18102,480,0.85,408.0,0.0783281946055151
273853,14156,264,3.39,894.96,0.07737214957646288
390763,18102,200,19.42,3884.0,0.07724275017185767
267335,13734,85,34.95,2970.75,0.07683270936085707
454498,15061,256,10.95,2803.2,0.0762432543302507
65299,14646,480,2.55,1224.0,0.07608045416592901
172969,16684,600,0.65,390.0,0.07455911089535872
103818,18102,336,1.4,470.4,0.07450078496640622
358822,17450,648,6.89,4464.72,0.07375302348541724
358820,17450,408,8.87,3618.96,0.07346389471906734
474183,13089,96,10.95,1051.2,0.0723457907697781
266834,14156,324,4.25,1377.0,0.07221747834215841
266833,14156,324,4.25,1377.0,0.07221747834215841
379877,15838,4752,0.19,902.88,0.07217317784909805
266841,14156,608,2.55,1550.4,0.07213229640098351
519380,18102,72,32.69,2353.68,0.07189887068509093
206460,18102,200,10.99,2198.0,0.07187811070156191
103817,18102,336,1.0,336.0,0.07179961385111333
358818,17450,684,5.15,3522.6,0.07154066261635406
358829,17450,464,7.13,3308.32,0.07153427126708489
474068,13027,1680,0.4,672.0,0.07076115145296902
409133,13316,2880,0.17,489.6,0.07031040245683495
409132,13316,2880,0.17,489.6,0.07031040245683495
172950,16684,600,0.42,252.0,0.0702221529346495
281359,15061,96,10.95,1051.2,0.06971157333751221
358817,17450,704,4.56,3210.24,0.06926034804977721
172953,16684,864,0.25,216.0,0.0692526921666482
354922,14646,576,0.72,414.72,0.06885775378590864
358824,17450,648,5.96,3862.08,0.06875368496538636
326848,15838,7128,0.19,1354.32,0.06836639451691162
48282,18102,600,3.0,1800.0,0.06827812342259632
48281,18102,600,3.0,1800.0,0.06827812342259632
48279,18102,576,3.0,1728.0,0.06827812342259632
48276,18102,600,3.0,1800.0,0.06827812342259632
48275,18102,576,3.0,1728.0,0.06827812342259632
138802,17949,156,10.95,1708.2,0.06816479903077888
233545,13848,1000,0.32,320.0,0.06706419876903202
65450,14156,1,1193.89,1193.89,0.06694438734282793
214982,16754,160,2.55,408.0,0.06681729536226555
326849,15838,3960,0.19,752.4,0.06670451823685786
